session_id,timestamp,round,target_word,target_token_id,guess_word,guess_token_id,distance,round_score,total_score
20250609_202655,2025-06-09T20:26:59.480360,1,hot,15303,cold,178320,163017,0,0
20250609_202655,2025-06-09T20:27:25.128217,3,easy,84936,hard,31916,53020,0,0
20250609_202655,2025-06-09T20:27:31.766461,4,cool,71477,hot,15303,56174,0,0
20250609_202655,2025-06-09T20:27:36.062862,5,good,30744,bad,22023,8721,5,5
20250609_202655,2025-06-09T20:27:47.930108,6,mini,42752,large,32551,10201,0,5
20250609_202655,2025-06-09T20:28:08.357799,7,bound,18791,blue,18789,2,9,14
20250609_202655,2025-06-09T20:28:15.866100,8,run,12935,walk,26072,13137,0,14
20250609_202655,2025-06-09T20:28:27.571758,9,dash,86134,success,11887,74247,0,14
20250609_202655,2025-06-09T20:28:33.769571,10,run,12935,walk,26072,13137,0,14
